male_ring,female_ring.x,male_pers.x,female_pers.x,colony
6126015,6161673,-0.040466789,0.533389295,grumant
6126040,6126223,1.874887583,-0.035841492,grumant
6126213,6126220,1.195372844,-0.030199559,grumant
6126213,6126236,1.195372844,2.250164875,grumant
6126238,6177208,2.455532876,1.924625575,grumant
6126239,6161679,2.220430812,2.455532876,grumant
6126239,6126215,2.220430812,2.319564427,grumant
6126242,6177227,0.769447901,1.621696313,grumant
6126244,6161663,2.179750404,2.081314206,grumant
6141766,6228268,0.511031571,2.27702308,grumant
6141770,6126233,0.127940704,1.23282592,grumant
6141770,6161665,0.127940704,0.885330963,grumant
6141773,6141762,1.761165337,0.221514085,grumant
6141776,6161685,2.220812909,2.080973252,grumant
6141782,680937,2.618194298,0.75486907,grumant
6146967,680936,-0.044268992,0.055706465,grumant
6146996,6141771,1.82065594,0.530921197,grumant
6161664,6161670,0.015407548,0.529103516,grumant
6161666,6126046,2.240667731,0.168351395,grumant
6161669,6141762,1.899217158,0.221514085,grumant
6161669,6126219,1.899217158,0.469624939,grumant
6161674,6126233,0.131212908,1.23282592,grumant
6161678,6191620,0.032734666,-0.014993633,grumant
6177203,6177208,2.029800417,1.924625575,grumant
6177203,6141774,2.029800417,2.145695657,grumant
6177204,6126201,1.392766777,1.656230632,grumant
6177204,6161667,1.392766777,2.09039202,grumant
6177206,6126201,2.345714969,1.656230632,grumant
6177209,680939,1.576391889,0.023294601,grumant
6177210,6177212,1.409893097,2.248599414,grumant
6177223,6161680,2.12197104,0.07063578,grumant
6177224,6126233,0.696605605,1.23282592,grumant
6177224,680937,0.696605605,0.75486907,grumant
6177224,6126006,0.696605605,0.007106512,grumant
6177248,6177208,2.148325396,1.924625575,grumant
6177250,6126240,2.102776511,1.749924563,grumant
6177308,6161679,1.605185932,2.455532876,grumant
6207506,6207514,-1.070910047,-1.107049258,pyramiden
6207512,6207507,1.265907372,1.229642018,pyramiden
6207517,6234772,-1.189890475,1.40423917,pyramiden
6207524,6234569,-0.815223899,-1.571186675,pyramiden
6207525,6207541,1.213935282,1.236015045,pyramiden
6207526,6207515,1.109171917,1.265907372,pyramiden
6207540,6207518,1.227282054,1.217380735,pyramiden
6228269,6141784,-0.009611698,0.092387679,grumant
6234451,6234765,1.442347744,-0.083362817,pyramiden
6234454,6234757,-1.149092315,-0.579745542,pyramiden
6234455,6234759,-0.427732197,1.225971188,pyramiden
6234458,6234770,0.86958493,1.476848183,pyramiden
6234459,6234772,-0.815688447,1.40423917,pyramiden
6234460,6234773,0.964952222,0.722024659,pyramiden
6234461,6234738,1.437929665,-0.762967234,pyramiden
6234461,6234774,1.437929665,-0.803024724,pyramiden
6234466,6234785,1.525603944,1.233911456,pyramiden
6234467,6234787,0.770740848,-0.932419694,pyramiden
6234470,6234790,0.725159889,-0.545649588,pyramiden
6234471,6234791,0.838036852,0.980336456,pyramiden
6234474,6234796,1.299507555,0.975090674,pyramiden
6234476,6234731,-0.588478533,0.752943187,pyramiden
6234476,6234800,-0.588478533,0.933792499,pyramiden
6234477,6234601,1.065010711,1.435122194,pyramiden
6234507,6234465,1.257174381,0.086180792,pyramiden
6234508,6207539,1.247341032,1.236015045,pyramiden
6234508,6234781,1.247341032,-0.551839653,pyramiden
6234509,6234777,0.672713997,0.339464403,pyramiden
6234510,6234766,-0.622870558,-0.082815133,pyramiden
6234513,6234582,-0.050044893,1.324335328,pyramiden
6234513,6234795,-0.050044893,1.405691235,pyramiden
6234516,6234720,-0.791617864,0.677788666,pyramiden
6234516,6234760,-0.791617864,1.534336935,pyramiden
6234524,6234525,1.380169076,0.815094058,pyramiden
6234524,6234603,1.380169076,1.534336935,pyramiden
6234526,6234486,-0.824421439,1.508137962,pyramiden
6234528,6234609,-0.04231492,0.352519336,pyramiden
6234565,6207513,1.236015045,1.185673901,pyramiden
6234567,6234511,1.315602337,-0.292372112,pyramiden
6234578,6207509,1.319968833,1.341801311,pyramiden
6234579,6234515,1.319968833,1.443180535,pyramiden
6234580,6234739,1.23164855,1.215197487,pyramiden
6234581,6234721,-1.13882678,1.552556142,pyramiden
6234591,6207519,-0.718971581,1.156525545,pyramiden
6234602,6234525,1.534336935,0.815094058,pyramiden
6234606,6234724,1.534336935,1.800086239,pyramiden
6234606,6234643,1.534336935,1.516870953,pyramiden
6234607,6234741,0.974742171,-1.129125701,pyramiden
6234608,6234480,0.739273584,-0.90900046,pyramiden
6234613,6234529,1.065094527,0.679465989,pyramiden
6234625,6234783,1.24122736,-0.722391652,pyramiden
6234702,6234728,-0.868116761,-0.47662245,pyramiden
6234702,6207516,-0.868116761,-0.30898917,pyramiden
6234702,6234650,-0.868116761,0.329773695,pyramiden
6234725,6234730,0.680060747,1.660793913,pyramiden
6234726,6234721,1.795719743,1.552556142,pyramiden
6234727,6234742,0.54621436,1.786986752,pyramiden
6234727,6234795,0.54621436,1.405691235,pyramiden
6234729,6234719,0.71422902,0.787747182,pyramiden
6234732,6234722,1.791353247,-0.375318066,pyramiden
6234732,6234788,1.791353247,1.163492298,pyramiden
6234733,6234723,0.025853274,1.522857313,pyramiden
6234734,6234724,-0.384051057,1.800086239,pyramiden
6234735,6234472,1.791353247,0.60057399,pyramiden
6234744,6234611,1.341801311,-0.675900777,pyramiden
6234755,6234531,1.534336935,-0.825538832,pyramiden
6234756,6234547,-0.470438417,0.264237811,pyramiden
6234758,6234511,0.941525649,-0.292372112,pyramiden
6234761,6234772,-0.332154094,1.40423917,pyramiden
6234762,6234453,1.428062725,0.682842641,pyramiden
6234763,6234530,0.631527517,-0.027323502,pyramiden
6234764,6234452,1.110921966,0.89130859,pyramiden
6234767,6234718,1.244438234,1.166057528,pyramiden
6234767,6207505,1.244438234,0.640486804,pyramiden
6234767,6234456,1.244438234,0.464629514,pyramiden
6234768,6234550,1.297820221,-0.608367146,pyramiden
6234769,6234456,1.217354724,0.464629514,pyramiden
6234769,6234457,1.217354724,0.948004064,pyramiden
6234771,6234517,1.418490468,-0.720359298,pyramiden
6234775,6234505,-0.182088716,-0.097586691,pyramiden
6234776,6234462,0.548887138,-0.454872937,pyramiden
6234778,6234506,-0.806955456,1.43151938,pyramiden
6234779,6234463,-0.804819683,0.036728997,pyramiden
6234780,6234463,0.738061922,0.036728997,pyramiden
6234780,6234464,0.738061922,-0.729450792,pyramiden
6234782,6234529,0.359671114,0.679465989,pyramiden
6234782,6234506,0.359671114,1.43151938,pyramiden
6234784,6234512,0.961598207,0.89273466,pyramiden
6234786,6234746,0.049223359,0.957152716,pyramiden
6234789,6234469,1.180808282,-0.809462896,pyramiden
6234792,6234790,1.467566949,-0.545649588,pyramiden
6234792,6234472,1.467566949,0.60057399,pyramiden
6234793,6234473,-0.62521835,1.483663693,pyramiden
6234794,6234475,1.534336935,-0.843055749,pyramiden
6234797,6234795,1.612737588,1.405691235,pyramiden
6234797,6234514,1.612737588,-0.747351836,pyramiden
6234798,6234515,0.050070695,1.443180535,pyramiden
6234799,6234548,0.871993423,1.786986752,pyramiden
